title,url
第一章 重生蚊子，这开局咋玩？,https://www.xzmncy.com/list/58017/28052166.html
第二章 吸口血，意外和重生女帝签订血契？,https://www.xzmncy.com/list/58017/28052173.html
第三章 堂堂女帝重生，要和一只蚊子同生共死了？,https://www.xzmncy.com/list/58017/28052183.html
第四章 气血破1！第一次进化开始！,https://www.xzmncy.com/list/58017/28052192.html
第五章 进化成功！口器升级！,https://www.xzmncy.com/list/58017/28052198.html
第六章 顾月曦想要转到御兽科,https://www.xzmncy.com/list/58017/28052208.html
第七章 这就是御兽班？好像都是移动血包啊！,https://www.xzmncy.com/list/58017/28052213.html
第八章 校花的爱慕者？哥们你看人真准！,https://www.xzmncy.com/list/58017/28052221.html
第九章 女帝惊讶，这蚊子怎么感觉变强了？,https://www.xzmncy.com/list/58017/28052230.html
第十章 女帝别吃独食啊！灵青蛇的精血给我也来一口！,https://www.xzmncy.com/list/58017/28052237.html
第十一章 技能可以升级了？,https://www.xzmncy.com/list/58017/28052245.html
第十二章 虫族空间升级，开始大征兵！！,https://www.xzmncy.com/list/58017/28052253.html
第十三章 中级血脉的风刃狼？吸一口！,https://www.xzmncy.com/list/58017/28052261.html
第十四章 可以第二次进化了！,https://www.xzmncy.com/list/58017/28052269.html
第十五章 女帝震惊，怎么两天又进化了？！,https://www.xzmncy.com/list/58017/28052277.html
第十六章 一晚吸干灵青蛇尸体，女帝傻了！,https://www.xzmncy.com/list/58017/28052284.html
第十七章 五十气血！野兽的水平，这叫蚊子？,https://www.xzmncy.com/list/58017/28052290.html
第十八章 陈昊等人的震惊，这他妈是蚊子？！,https://www.xzmncy.com/list/58017/28052298.html
第十九章 女帝懵了，它还能召唤昆虫？！,https://www.xzmncy.com/list/58017/28052306.html
第二十章 蚊子配合女帝！拿下十五杀！,https://www.xzmncy.com/list/58017/28052315.html
第二十一章 陈昊等人的震惊，能团灭铁皮猪群，肯定是精锐小队干的！,https://www.xzmncy.com/list/58017/28052321.html
第二十二章 顾月曦的杀意。,https://www.xzmncy.com/list/58017/28052330.html
第二十三章 杀！全杀了！,https://www.xzmncy.com/list/58017/28052338.html
第二十四章 震动！难产的八品妖兽！,https://www.xzmncy.com/list/58017/28052346.html
第二十五章 我的很*！女帝忍一下！,https://www.xzmncy.com/list/58017/28052356.html
第二十六章 发现三只高级血脉幼崽！,https://www.xzmncy.com/list/58017/28052367.html
第二十七章 到嘴的机缘要被夺走了？楚生：别慌！我有办法！,https://www.xzmncy.com/list/58017/28052373.html
第二十八章 楚生的计划，引动兽潮？,https://www.xzmncy.com/list/58017/28052383.html
第二十九章 一人一蚊默契配合，成功潜入！,https://www.xzmncy.com/list/58017/28052393.html
第三十章 螳螂捕蝉，蚊子在后！,https://www.xzmncy.com/list/58017/28052399.html
第三十一章 顺利逃生，准备回学校躲躲！,https://www.xzmncy.com/list/58017/28052410.html
第三十二章 惊蛰公会的人这么快就来了？！,https://www.xzmncy.com/list/58017/28052416.html
第三十三章 唯一的活路，转学申请？,https://www.xzmncy.com/list/58017/28052424.html
第三十四章 第三次进化开始！,https://www.xzmncy.com/list/58017/28052431.html
第三十五章 进化完成！三个技能大升级！,https://www.xzmncy.com/list/58017/28052439.html
第三十六章 妖兽的灵智评级？,https://www.xzmncy.com/list/58017/28052449.html
第三十七章 女帝测试气血，震惊全场！,https://www.xzmncy.com/list/58017/28052456.html
第三十八章 你的契约兽灵智高？看看我的蚊子！,https://www.xzmncy.com/list/58017/28052464.html
第三十九章 帝级血脉才可能有的灵智，在一只蚊子身上？,https://www.xzmncy.com/list/58017/28052471.html
第四十章 多次测试！结果不变！真是极品灵智！,https://www.xzmncy.com/list/58017/28052478.html
第四十一章 展示个智商，就被城主府保护了？,https://www.xzmncy.com/list/58017/28052486.html
第四十二章 转学申请不会取消，你们学校，不配！,https://www.xzmncy.com/list/58017/28052495.html
第四十三章 女帝的新目标！,https://www.xzmncy.com/list/58017/28052503.html
第四十四章 吸吸吸！气血破四百！一品巅峰！！,https://www.xzmncy.com/list/58017/28052511.html
第四十五章 省府领导和惊蛰公会的人都来了？,https://www.xzmncy.com/list/58017/28052518.html
第四十六章 刚进入秘境，就被人用精神力锁定了？,https://www.xzmncy.com/list/58017/28052523.html
第四十七章 精神念师，实质化的精神力！,https://www.xzmncy.com/list/58017/28052532.html
第四十八章 女帝又看傻了，它连精神力都能吸？,https://www.xzmncy.com/list/58017/28052540.html
第四十九章 蕴神晶？这玩意儿我能吸吗？,https://www.xzmncy.com/list/58017/28052547.html
第五十章 一人一蚊老阴比组合，又要黄雀在后了？,https://www.xzmncy.com/list/58017/28052555.html
第五十一章 谁是螳螂？谁是黄雀？,https://www.xzmncy.com/list/58017/28052563.html
第五十二章 不好意思，你们是螳螂和麻雀，我们是猎人！,https://www.xzmncy.com/list/58017/28052569.html
第五十三章 疯了？留一只蚊子对付一品巅峰的武者？,https://www.xzmncy.com/list/58017/28052579.html
第五十四章 想不到吧？爷会飞！打不着！,https://www.xzmncy.com/list/58017/28052585.html
第五十五章 吸龟血！即将破五百气血！,https://www.xzmncy.com/list/58017/28052593.html
第五十六章 气血破二品！反超女帝！！,https://www.xzmncy.com/list/58017/28052600.html
第五十七章 吸蕴神晶！精神力直接超过女帝了？！,https://www.xzmncy.com/list/58017/28052606.html
第五十八章 考核即将结束，李月瑶81分一骑绝尘！,https://www.xzmncy.com/list/58017/28052613.html
第五十九章 两大天才破纪录，领导却只关注花瓶校花？,https://www.xzmncy.com/list/58017/28052620.html
